Device ID	Zone ID	Vehicle Number	IMEI
NW3_KA04AB6028_jetting machine	NW3	KA04AB6028	tk_864895033187301
NW3_KA04C2197_Jetting	NW3	KA04C2197	tk_868683022799567
NW3_KA04C5135_Jetting	NW3	KA04C5135	tk_868683022828838
NW3_KA04D5165_Jetting	NW3	KA04D5165	tk_868683022801355
S1_KA03C5043_Tanker	S1	KA03C5043	tk_868683022789287
S1_KA04C5144_Jetting	S1	KA04C5144	tk_868683022789683
S1_KA04D4270_Jetting	S1	KA04D4270	tk_868683022789865
S1_KA04D5233_Tanker	S1	KA04D5233	tk_868683022791093
S1_KA04D5428_Tanker	S1	KA04D5428	tk_868683022806321
S1_KA05AD2936_Desilting	S1	KA05AD2936	tk_864180032935095
S1_KA05B6541_Jetting	S1	KA05B6541	tk_868683022788222
S2_KA04AA7680_Desilting	S2	KA04AA7680	tk_864180032937844
S2_KA04C5149_Jetting	S2	KA04C5149	tk_868683022802304
S2_KA04D4104_Jetting	S2	KA04D4104	tk_868683022800639
S2_KA04D5124_Tanker	S2	KA04D5124	tk_868683022808400
S2_KA04D5161_Jetting	S2	KA04D5161	tk_868683022871705
S2_KA04D5296_Tanker-	S2	KA04D5296	tk_868683022805448
S2_KA04D5299_Tanker	S2	Ka04D5299	tk_868683022805992
S3_KA04A9518_Jetting	S3	KA04A9518	tk_868683022786770
S3_KA04AA9017_Desilting	S3	KA04AA9017	tk_868683022801686
S3_KA04C5146_Jetting	S3	KA04C5146	tk_868683022800498
S3_KA04D6654_Jetting	S3	KA04D6654	tk_868683022798148
S3_KA04D8086_Tanker	S3	KA04D8086	tk_868683022802148
S4_KA04AA7683_Desilting	S4	KA04AA7683	tk_864895033187905
S4_KA04AA7683_desilting	S4	KA04AA7683	tk_864895033187905
S4_KA04AB5798_Jetting	S4	KA04AB5798	tk_864895033187871
S4_KA04AB5798_jetting machine	S4	KA04AB5798	tk_864895033187871
S4_KA04C4868_Jetting	S4	KA04C4868	tk_868683022795904
S4_KA04C5145_Jetting	S4	KA04C5145	tk_868683022795698
S4_KA04C5152_Jetting	S4	KA04C5152	tk_868683022792125
S4_KA04D4603_Jetting	S4	KA04D4603	tk_868683022786374
S4_KA05D8083_Tanker	S4	KA05D8083	tk_868683022791846
SE1_KA03B964_Jetting	SE1	KA03B964	tk_864180032743481
SE1_KA049409_Jetting	SE1	KA049409	tk_868683022807089
SE1_KA04A3046_Jetting	SE1	KA04A3046	tk_868683022806701
SE1_KA04AA9030_desilting	SE1	KA04AA9030	tk_864895033188051
SE1_KA04AA9030_Desiting	SE1	KA04AA9030	tk_864895033188051
SE1_KA04AB5793_Jetting	SE1	KA04AA5793	tk_864895033188028
SE1_KA04AB5794_Jetting	SE1	KA04AB5794	tk_864895033188200
SE1_KA04C5150_Jetting	SE1	KA04C5150	tk_868683022800779
SE1_KA04D4110_Jetting	SE1	KA04D4110	tk_868683022810604
SE1_KA04D5303_Tanker	SE1	KA04D5303	tk_868683022831857
SE1_KA04D6651_Jetting	SE1	KA04D6651	tk_868683022806834
SE1_KA05AD2948_desilting	SE1	KA05AD2948	tk_864895033187459
SE1_KA05D8227_Tanker	SE1	KA05D8227	tk_868683022791184
SE2_KA03C5068_Tanker	SE2	КA03C5068	tk_864180032935525
SE2_KA04AA7681_Desilting	SE2	KA04AA7681	tk_864895033187426
SE2_KA04AA7681_desilting	SE2	KA04AA7681	tk_864895033187426
SE2_KA04C2090_Jetting	SE2	KA04C2090	tk_868683022806677
SE2_KA04D4611_Jetting	SE2	KA04D4611	tk_868683022797769
SE3_KA02AC5940_Jetting	SE3	KA02AC5940	tk_868683022791069
SE3_KA04A3044_Jetting	SE3	KA04A3044	tk_868683022806032
SE3_KA04AA7687_Desilting	SE3	KA04AA7687	tk_864895033187368
SE3_KA04AA7687_desilting	SE3	KA04AA7687	tk_864895033187368
SE3_KA04AB5801_Jetting	SE3	KA04AB5801	tk_864895033187723
SE3_KA04AB5801_jetting machine	SE3	KA04AB5801	tk_864895033187723
SE3_KA04D4155_Jetting	SE3	KA04D4155	tk_868683022796605
SE3_KA04D5311_Tanker	SE3	KA04D5311	tk_868683022798155
SE3_KA05B8084_Tanker	SE3	KA05B8084	tk_868683022811289
SW1_KA01B9896_Tanker	SW1	KA01B9896	TK_868683022800662
SW1_KA04A9520_Jetting	SW1	KA04A9520	tk_868683022796886
SW1_KA04A9522_Jetting	SW1	KA04A9522	tk_868683022788487
SW1_KA04AA7685_Desiting	SW1	KA04AA7685	tk_868683022810349
SW1_KA04D4607_Jetting	SW1	KA04D4607	tk_868683022811206
SW1_KA04D4872_jetting	SW1	KA04D4872	tk_868683022805919
SW2_CAW236_Jetting	SW2	CAW236	tk_864180032709409
SW2_KA04AB5797_Jetting	SW2	KA04AB5797	tk_864895033186469
SW2_KA04AB5797_jetting machine	SW2	KA04AB5797	tk_864895033186469
SW2_KA04C5143_Jetting	SW2	KA04C5143	tk_868683022791705
SW2_KA04D4605_Jetting	SW2	KA04D4605	tk_868683022786416
SW2_KA04D5285_Tanker	SW2	KA04D5285	tk_868683022798700
SW3_KA04A9513_Jetting	SW3	KA04A0513	tk_868683022809770
SW3_KA04C5147_Jetting	SW3	KA04C5147	tk_868683022806693
SW3_KA05A8077_Tanker	SW3	KA05A8077	tk_868683022800043
SW3_KA05AD2942_Desilting	SW3	KA05AD2942	tk_868683022791820
SW4_KA04AA9016_Desilting	SW4	KA04AA9016	tk_864895033187780
SW4_KA04AA9016_desilting	SW4	KA04AA9016	tk_864895033187780
SW4_KA04AA9021_Desilting	SW4	KA04AA9021	tk_864895033186790
SW4_KA04AA9021_desilting	SW4	KA04AA9021	tk_864895033186790
SW4_KA04C5151_Jetting	SW4	KA04C5151	tk_868683022801777
SW4_KA04D4106_Jetting	SW4	KA04D4106	tk_868683022797850
SW4_KA04D5298_Tanker	SW4	KA04D5298	tk_868683022787109
SW4_KA05D6540_Jetting	SW4	KA05B6540	tk_868683022801348
SW4_KA05D8079_Tanker	SW4	KA05D8079	tk_868683022791200
W1_KA02B6769_Jetting	W1	KA02B6769	tk_868683022502086
W1_KA02D3148_Tanker	W1	KA02D3148	tk_868683022830289
W1_KA04C9408_Jetting	W1	KA04C9408	tk_864180032710613
W1_KA05AD2945_Desilting	W1	KA05AD2945	tk_868683022790244
W2_KA04C5134_Jetting	W2	KAD4C5134	tk_868683022800837
W2_KA04D4864_Jetting	W2	KA04D4864	tk_868683022797256
W3_KA04A9521_Jetting	W3	KA04A9521	tk_868683022997898
W3_KA04C5237_Tanker	W3	KA04D5237	tk_868683022803435
W3_KA04D4156_Jetting	W3	KA04D4156	tk_868683022810166
W3_KA04D5156_Jetting	W3	KA04D5156	tk_864180032617719
W3_KA04D5305_Tanker	W3	KA04D5305	tk_868683022796183
W4_KA02D3152_Tanker	W4	KA02D3152	tk_864180032741162
W4_KA04C5129_Jetting	W4	KA04C5129	tk_868683022790178
W4_KA04D4601_Jetting	W4	KA04D4601	tk_868683022795888
WWM VV1_KA04AA9029_desilting	WWM VV1	KA04AA9029	tk_864895033187483
WWM VV2_KA53B3461_Dump Tanker	WWM VV2	KA53B3461	tk_864895033188325
Wwm_KA53B3470_Suction	Wwm	KA53B3470	tk_868683022488682
Wwm_KA53B3471_Suction	Wwm	KA53B3471	tk_868683022800670
Wwm_KA53B3474_Dumping	Wwm	KA53B3474	tk_868683022787893
WWM_KA53B3475_Dumping	WWM	KA53B3475	tk_868683022786689
Wwm_KA53B3476_Dumping	Wwm	KA53B3476	tk_868683022809861
Wwm_KA53B3477_Dumping	Wwm	KA5383477	tk_868683022790533
Wwm_KC1_KA04AA5948_Desilting.	Wwm	KA04AA5948	tk_868683022788990
Wwm_KC1_KA04AA9020_Desiting	Wwm	KADAAA9020	tk_868683022786671
Wwm_KC1_KA53B3463_Dumptanker	Wwm	KA53B3463	tk_868683022824142
WWM_KC1_KA53B3468Jetting	WWM	KA53B3468	tk_864180032711736
WWM_KC2_KA53B3469_Jetting	WWM	KA53B3649	tk_868683022540763
WWM_KC2_KA53B3472_Jetting	WWM	KA53B3472	tk_868683022871598
WWM_VV-1_KA53b3465_Jetting	WWM	KA53B3465	tk_868683022871838
WWM_VV2_KA53B3461_Dumptanker	WWM	KA53B3461	tk_864895033188325
Wwm_Vv2_KA53B3462_Jetting	Wwm	KA53B3462	tk_868683022800753
WWM_W1_KA04AA9029_Desilting	WWM	KA04AA9029	tk_864895033187483
WWM_WV-2_KA53B3467_Jetting	WWM	KA53B3467	tk_868683022802296
