# ,Vehicle Description, Device-ID ,Date ,Time ,OdometerKm,Lat/Lon ,Address ,Latest Batt %,Since Last Check-In
19,NE3_KA04AA1783_DESILTING,ne3_ka04aa1783_desilting,16/1/2020,13:32:30,23445,13.0298/77.5887,CBI,,424d 23h 37m
20,SE1_KA04A3046_JETTING,se1_ka04a3046_jetting,16/1/2020,13:32:37,18216,12.9581/77.6124,Hotel Royal Heritage,,1070d 20h 52m
21,W4_KA04B6770_JETTING,w4_ka04b6770_jetting,16/1/2020,13:32:37,16480,12.9675/77.5331,Maruthi Mandir,,417d 22h 28m
22,S4_KA04C5152_JETTING,s4_ka04c5152_jetting,16/6/2020,13:04:34,18568,12.9771/77.4381,Bayandhalli,,918d 21h 26m
24,WWM_KC1_KA04AA5948_DESILTING,wwm_kc1_ka04aa5948_desilting,23/7/2020,13:20:39,48091,12.9006/77.5857,Hotel Nandhini J.P.Nagar,,881d 21h 10m
25,N3_KA04D6659_JETTING,n3_ka04d6659_jetting,29/7/2020,9:52:45,45534,13.0599/77.5757,Kodagihalli,,0d 00h 00m
26,SW2_KA04D4605_JETTING,sw2_ka04d4605_jetting,29/7/2020,10:25:19,17890,12.9296/77.5350,Hosakerahalli,,876d 00h 05m
27,NE1_CAA3313_TANKER,ne1_caa3313_tanker,29/7/2020,10:29:11,13729,13.0111/77.5672,Malleshwaram,,876d 00h 01m
28,NE1_KA04A9515_JETTING,ne1_ka04a9515_jetting,7/10/2020,11:34:01,4283,13.0119/77.5677,Malleshwaram,,47d 17h 08m
29,C3_KA04C5156_JETTING,c3_ka04c5156_jetting,30/11/2020,15:44:16,8278,12.9934/77.5212,KamalaNagar,,751d 18h 45m
30,NE2_KA05AD2943_DESILTING,ne2_ka05ad2943_desilting,7/12/2020,12:34:06,281,12.9897/77.5787,Seshadripuram,,744d 21h 55m
31,SW1_KA04A9520_JETTING,sw1_ka04a9520_jetting,12/1/2021,12:17:59,9897,12.9777/77.4387,Bayandhalli,,708d 22h 11m
32,S2_KA04C5149_JETTING,s2_ka04c5149_jetting,26/1/2021,16:15:26,19876,12.8735/77.5845,Quality Inn Shravanthi,,694d 18h 14m
33,S2_KA04D5299_TANKER,s2_ka04d5299_tanker,19/6/2021,15:31:04,60465,12.8739/77.5842,Quality Inn Shravanthi,,550d 18h 58m
34,SE1_KA04C5154_JETTING,se1_ka04c5154_jetting,1/7/2021,13:35:59,15913,12.9741/77.6297,Jogupalya,,0d 18h 17m
35,SE1_KA04D5303_TANKER,se1_ka04d5303_tanker,7/8/2021,12:55:16,27982,12.9832/77.6490,Thippasandra,,97d 22h 13m
36,W1_KA05AD2945_DESILTING,w1_ka05ad2945_desilting,17/9/2021,11:15:20,7200,13.0099/77.5679,Malleshwaram,,460d 23h 16m
37,E2_KA04D5291_TANKER,e2_ka04d5291_tanker,26/9/2021,10:51:46,3048,12.9771/77.7115,Radha Hometel,,47d 19h 55m
38,E4_KA02AC4534_JETTING,e4_ka02ac4534_jetting,28/9/2021,18:05:16,20527,12.9965/77.6768,K R Puram,,0d 00h 00m
39,C3_KA05D8078_TANKER,c3_ka05d8078_tanker,2/10/2021,13:10:13,9619,13.0090/77.6163,DoddajÄ«vanhalli,,445d 21h 21m
40,SE3_KA04D5311_TANKER,se3_ka04d5311_tanker,29/10/2021,12:45:11,17392,12.8130/77.6766,Samruddhi Suites,,138d 21h 13m
41,W2_KA04C5134_JETTING,w2_ka04c5134_jetting,27/11/2021,9:11:53,15431,12.9780/77.5109,Nagarbhavi,,0d 00h 00m
42,WWM_VV2_KA53B3462_JETTING,wwm_vv2_ka53b3462_jetting,9/12/2021,13:16:01,12263,12.9366/77.5211,Nayandanahalli,,377d 21h 15m
43,W4_KA04C5129_JETTING,w4_ka04c5129_jetting,15/12/2021,8:30:30,26901,12.9736/77.5382,M.C.Layout,,147d 21h 46m
44,S2_KA04D4104_JETTING,s2_ka04d4104_jetting,31/12/2021,17:35:16,21600,12.8735/77.5846,Quality Inn Shravanthi,,0d 00h 00m
45,C3_KA03C5048_TANKER,c3_ka03c5048_tanker,10/1/2022,13:58:03,10586,13.0285/77.7692,Kanamangala,,104d 22h 35m
46,E4_KA04D6648_JETTING,e4_ka04d6648_jetting,25/1/2022,11:55:50,13752,12.9925/77.6787,Mahadevapura,,0d 18h 10m
47,WWM_KC1_KA53B3464_JETTING,wwm_kc1_ka53b3464_jetting,10/2/2022,7:12:13,13623,12.9561/77.6436,Hare Krishna Residency,,2d 17h 50m
48,C3_KA02AC5950_JETTING,c3_ka02ac5950_jetting,13/2/2022,21:43:27,17166,13.0013/77.6279,Seva Nagar,,0d 00h 00m
50,WWM_KA53B3475_DUMPING,wwm_ka53b3475_dumping,17/2/2022,14:40:15,12299,13.0428/77.6014,VishvanÄt Nagenahalli,,34d 00h 26m
52,S2_KA04D5124_TANKER,s2_ka04d5124_tanker,28/2/2022,17:04:27,40552,12.8541/77.5722,Gottigere,,26d 17h 01m
53,SE2_KA03C5068_TANKER,se2_ka03c5068_tanker,3/3/2022,17:51:57,1056415,12.9705/77.5914,Iris Hotel,,293d 16h 39m
54,WWM_VV1_KA53B3460_JETTING,wwm_vv1_ka53b3460_jetting,27/3/2022,23:48:42,273,12.9367/77.5210,Nayandanahalli,,21d 20h 13m
55,C1_KA041A7291_JETTING,c1_ka041a7291_jetting,5/4/2022,10:05:48,12340,12.9828/77.5851,Kanija Bhavan,,1d 22h 06m
56,NE3_KA04AA1784_DESILTING,ne3_ka04aa1784_desilting,8/4/2022,12:24:21,15080,13.0140/77.5672,Indian Institute of Science,,1d 20h 47m
57,C3_KA04C5160_JETTING,c3_ka04c5160_jetting,9/4/2022,18:53:13,8994,13.0016/77.6273,Seva Nagar,,0d 00h 00m
58,SW3_KA02AC5929_JETTING,sw3_ka02ac5929_jetting,13/4/2022,9:33:00,22221,12.9431/77.5763,Venus Residency,,0d 00h 11m
59,NE1_KA04C5136_JETTING,ne1_ka04c5136_jetting,15/4/2022,6:55:21,76084,13.0104/77.5667,Malleshwaram,,0d 00h 00m
60,NW2_KA04D4113_JETTING,nw2_ka04d4113_jetting,20/4/2022,13:21:15,13467,12.9783/77.5532,Magadi Road Tolgate,,17d 00h 24m
61,NW1_KA04A9519_JETTING,nw1_ka04a9519_jetting,22/4/2022,10:49:08,24278,13.0089/77.5490,NarayanaNethralaya,,243d 23h 41m
62,C2_KA04C5127_JETTING,c2_ka04c5127_jetting,23/4/2022,15:27:03,18011,12.9872/77.5899,Hotel Chalukya,,0d 22h 56m
63,N3_KA04D4102_JETTING,n3_ka04d4102_jetting,24/4/2022,18:27:07,48841,13.0820/77.5404,Shingapur,,0d 00h 00m
64,N1_KA04D4274_JETTING,n1_ka04d4274_jetting,25/4/2022,22:30:04,1609348,13.0619/77.5050,Bagalkunti,,0d 00h 01m
65,SE3_KA04D4155_JETTING,se3_ka04d4155_jetting,26/4/2022,11:25:50,22168,12.9253/77.6389,Koramangala Teachers Colony,,0d 00h 01m
66,WWM_KA53B3477_DUMPING,wwm_ka53b3477_dumping,26/4/2022,12:01:59,5684,13.0476/77.5786,RMV Extension,,201d 00h 38m
67,W4_KA04D4601_JETTING,w4_ka04d4601_jetting,29/4/2022,6:41:50,25684,12.9554/77.5292,B.C.C Layout,,0d 00h 00m
68,E2_KA04D5163_JETTING,e2_ka04d5163_jetting,4/5/2022,9:58:22,35624,12.9761/77.7102,Keys Hotel Whitefield Bangalore,,0d 00h 11m
69,NE1_KA04A6216_JETTING,ne1_ka04a6216_jetting,6/5/2022,15:05:15,1575129,12.9997/77.5636,Malleswaram,,0d 00h 00m
70,N2_KA04D5125_TANKER,n2_ka04d5125_tanker,7/5/2022,15:38:49,13275,13.0591/77.5871,Chairman's Club & Resort,,0d 00h 00m
71,SW2_KA04C5143_JETTING,sw2_ka04c5143_jetting,7/5/2022,17:33:57,38838,12.9241/77.5578,PETROL BUNK ORR,,0d 00h 00m
72,WWM_KC2_KA53B3469_JETTING,wwm_kc2_ka53b3469_jetting,8/5/2022,18:02:57,85269,12.9561/77.6437,Hare Krishna Residency,,0d 00h 00m
73,E1_KA04C5153_JETTING,e1_ka04c5153_jetting,11/5/2022,13:26:49,45396,13.0095/77.6387,LingarajaPuram,,0d 00h 00m
74,SW1_KA04A9522_JETTING,sw1_ka04a9522_jetting,11/5/2022,17:56:00,740122,12.9517/77.5771,Sajjan Rao Circle,,190d 20h 13m
75,SW1_KA04A3045_JETTING,sw1_ka04a3045_jetting,12/5/2022,13:30:22,19411,12.9569/77.5801,Pai Viceroy,,11d 20h 00m
76,SW4_KA04AA9016_DESILTING,sw4_ka04aa9016_desilting,13/5/2022,9:45:16,1413,12.9080/77.5845,Cross Roads Inn,,0d 00h 00m
77,S3_KA04AA9017_DESILTING,s3_ka04aa9017_desilting,14/5/2022,13:03:14,17867,12.9158/77.6073,Samrudhii Suites,,23d 00h 43m
78,E3_KA02AC5938_JETTING,e3_ka02ac5938_jetting,14/5/2022,17:49:02,27675,13.0080/77.6900,KrishnarÄjpur,,0d 00h 00m
79,SE1_KA04C5150_JETTING,se1_ka04c5150_jetting,15/5/2022,6:04:51,18863,12.9582/77.6123,Hotel Royal Heritage,,0d 00h 00m
80,SE1_KA04D6651_JETTING,se1_ka04d6651_jetting,15/5/2022,16:41:33,30649,12.9611/77.6385,Domlur Bus Stop,,0d 00h 00m
81,SW4_KA04C2203_JETTING,sw4_ka04c2203_jetting,15/5/2022,23:38:23,30919,12.9143/77.5954,Ragigudda Temple,,0d 00h 00m
83,WWM_KC1_KA53B3463_DUMPTANKER,wwm_kc1_ka53b3463_dumptanker,16/5/2022,23:12:15,14379,12.9560/77.6434,Hare Krishna Residency,,168d 03h 38m
84,W3_KA04A9521_JETTING,w3_ka04a9521_jetting,18/5/2022,16:04:04,59820,12.8743/77.5183,Poornapragana Layout,,37d 00h 56m
85,SW3_KA04A9513_JETTING,sw3_ka04a9513_jetting,19/5/2022,10:27:03,25960,12.9483/77.5503,kalidasa Layout,,0d 00h 00m
86,NW1_KA04D4278_JETTING,nw1_ka04d4278_jetting,19/5/2022,12:41:43,17645,13.0117/77.5444,MahaLakshmiPuram,,0d 17h 22m
87,WWM_KA53B3470_SUCTION,wwm_ka53b3470_suction,19/5/2022,16:49:09,18577,13.0441/77.6430,Geddalhalli,,0d 17h 24m
88,E4_KA04D5309_TANKER,e4_ka04d5309_tanker,19/5/2022,21:03:00,34068,12.9969/77.6767,K R Puram,,25d 15h 25m
90,WWM_VV1_KA53B3459_DUMPING,wwm_vv1_ka53b3459_dumping,20/5/2022,13:37:54,4044,12.9693/77.5498,Telecom Layout,,0d 00h 00m
91,WWM_KC2_KA53B3473_DUMPTANKER,wwm_kc2_ka53b3473_dumptanker,20/5/2022,14:45:58,3327,12.9561/77.6434,Hare Krishna Residency,,215d 19h 45m
92,NW2_KA04D5235_TANKER,nw2_ka04d5235_tanker,20/5/2022,15:03:53,20432,12.9949/77.5382,Shree Guru Residency,,0d 00h 00m
93,SW4_KA04C2198_JETTING,sw4_ka04c2198_jetting,21/5/2022,9:08:45,25516,12.9358/77.5852,Madhavan Park Jayanagar,,0d 00h 00m
94,WWM_KA53B3476_DUMPING,wwm_ka53b3476_dumping,21/5/2022,10:58:22,26058,13.0523/77.5795,RMV Extension,,0d 00h 00m
95,SW4_KA04D5298_TANKER,sw4_ka04d5298_tanker,21/5/2022,13:10:11,32258,12.9355/77.5885,Jayanagar Swimming Pool,,0d 00h 00m
96,E3_KA04AB6023_JETTING,e3_ka04ab6023_jetting,21/5/2022,16:19:58,28884,12.9945/77.6991,Mapple Whiteland,,0d 17h 21m
98,NE3_KA04AA1781_DESILTING,ne3_ka04aa1781_desilting,21/5/2022,21:00:54,12788,,,,0d 00h 00m
99,NE1_KA04B7111_TANKER,ne1_ka04b7111_tanker,22/5/2022,12:31:58,12469,13.0110/77.5675,Malleshwaram,,4d 15h 33m
100,SW1_KA04D4872_JETTING,sw1_ka04d4872_jetting,23/5/2022,0:26:05,20185,12.9430/77.5763,Venus Residency,,0d 00h 00m
101,SE1_KA049409_JETTING,se1_ka049409_jetting,23/5/2022,9:48:26,11991,12.9614/77.6379,Domlur Bus Stop,,0d 00h 53m
102,NE3_KA04D4115_JETTING,ne3_ka04d4115_jetting,23/5/2022,13:18:51,28367,13.0250/77.5921,HMT Layout,,34d 13h 05m
103,NE2_KA04A9517_JETTING,ne2_ka04a9517_jetting,23/5/2022,17:45:58,10823,12.9882/77.5772,Seshadripuram,,15d 01h 18m
104,S1_KA04C5144_JETTING,s1_ka04c5144_jetting,23/5/2022,18:05:51,40265,12.8877/77.5413,Vasantpura,,0d 00h 01m
105,SE3_KA02AC5940_JETTING,se3_ka02ac5940_jetting,24/5/2022,8:17:35,15983,12.9281/77.6214,De-Oriell Hotel,,6d 19h 31m
106,NE3_KA04A3042_JETTING,ne3_ka04a3042_jetting,24/5/2022,9:18:01,1594036,13.0109/77.5674,Malleshwaram,,0d 23h 45m
107,NW3_KA04C5135_JETTING,nw3_ka04c5135_jetting,24/5/2022,10:31:29,16071,13.0047/77.5016,Hegganhalli,,66d 00h 50m
108,WWM_KA53B3471_SUCTION,wwm_ka53b3471_suction,24/5/2022,11:23:11,40524,13.0425/77.6015,VishvanÄt Nagenhalli,,0d 00h 00m
109,SE3_KA05B8084_TANKER,se3_ka05b8084_tanker,24/5/2022,13:22:25,18549,12.9115/77.6469,HSR Club,,0d 01h 35m
111,C1_KA04D5123_TANKER,c1_ka04d5123_tanker,25/5/2022,8:53:12,9752,12.9830/77.5850,Kanija Bhavan,,0d 00h 00m
112,E1_KA04A3281_JETTING,e1_ka04a3281_jetting,25/5/2022,13:03:07,21919,13.0253/77.6280,Kammanahalli,,0d 00h 00m
113,NW3_KA04C2197_JETTING,nw3_ka04c2197_jetting,25/5/2022,13:24:29,18957,13.0356/77.5215,Chokkasandra,,9d 19h 50m
114,NE3_KA04B7114_TANKER,ne3_ka04b7114_tanker,25/5/2022,13:56:30,42588,13.0111/77.5672,Malleshwaram,,28d 22h 47m
115,S2_KA04D5296_TANKER,s2_ka04d5296_tanker,25/5/2022,14:26:53,47897,12.8986/77.5120,Rajarajeshwari Nagar,,0d 00h 00m
116,E2_KA04C5158_JETTING,e2_ka04c5158_jetting,25/5/2022,16:23:13,20675,12.9957/77.6659,Hotel Evoma,,0d 18h 41m
117,SW4_KA04C5151_JETTING,sw4_ka04c5151_jetting,25/5/2022,16:35:35,19981,12.9428/77.5993,Lakasandra,,18d 20h 04m
118,E4_KA04AB6022_JETTING,e4_ka04ab6022_jetting,25/5/2022,20:07:42,20819,12.9964/77.6769,K R Puram,,0d 00h 00m
119,N1_KA04AB6025_JETTING,n1_ka04ab6025_jetting,25/5/2022,22:50:01,1609344,13.0620/77.5048,Bagalkunti,,0d 00h 00m
120,S2_KA04AA7680_DESILTING,s2_ka04aa7680_desilting,25/5/2022,23:27:23,1609344,12.8734/77.5847,Quality Inn Shravanthi,,0d 00h 00m
121,NE3_KA04AA1782_DESILTING,ne3_ka04aa1782_desilting,26/5/2022,8:18:30,18134,13.0296/77.5702,Gedalhalli,,0d 07h 57m
122,SW2_KA04D5285_TANKER,sw2_ka04d5285_tanker,26/5/2022,11:29:56,21728,12.9427/77.5758,Venus Residency,,44d 18h 12m
124,E1_KA04D5294_TANKER,e1_ka04d5294_tanker,26/5/2022,11:57:36,10053,13.0938/77.5899,"Shaneeswar Mandir, Allala Sandra",,0d 00h 00m
125,SE1_KA04D4110_JETTING,se1_ka04d4110_jetting,26/5/2022,12:44:28,17181,12.9439/77.6272,Easy Stay,,0d 00h 08m
126,WWM_KA53B3474_DUMPING,wwm_ka53b3474_dumping,26/5/2022,12:54:13,11107,13.0424/77.6014,VishvanÄt Nagenhalli,,27d 23h 54m
128,S4_KA05D8083_TANKER,s4_ka05d8083_tanker,26/5/2022,14:12:05,34933,12.9081/77.6395,HSR Club,,0d 07h 24m
129,E3_KA04SD4157_JETTING,e3_ka04sd4157_jetting,26/5/2022,14:12:35,39930,13.0109/77.6675,YerranapÄlya,,0d 00h 00m
130,NE1_KA04A9516_JETTING,ne1_ka04a9516_jetting,26/5/2022,14:42:20,264710,12.9310/77.5399,Hosakerahalli,,0d 00h 00m
131,NW1_KA04D6656_JETTING,nw1_ka04d6656_jetting,26/5/2022,14:56:57,43423,12.9966/77.5531,Navrang,,0d 00h 00m
132,NE3_KA04AA1780_DESILTING,ne3_ka04aa1780_desilting,26/5/2022,16:11:02,14122,13.0340/77.5991,CholnÄikanhalli,,0d 01h 10m
133,NE3_KA04C3715_JETTING,ne3_ka04c3715_jetting,26/5/2022,16:32:39,18077,13.0334/77.5898,Ananda Nagar,,0d 00h 00m
134,E1_KA04AB6024_JETTING,e1_ka04ab6024_jetting,26/5/2022,16:35:26,16420,,,,7d 11h 44m
135,E3_KA04C5159_JETTING,e3_ka04c5159_jetting,26/5/2022,16:54:26,27618,13.0080/77.6900,KrishnarÄjpur,,3d 15h 39m
136,NW3_KA04AA7686_DESILTING,nw3_ka04aa7686_desilting,26/5/2022,17:03:37,14844,13.0328/77.5183,Choksandra,,1d 14h 22m
137,E3_KA04D5127_TANKER,e3_ka04d5127_tanker,26/5/2022,17:04:04,23432,13.0078/77.6898,KrishnarÄjpur,,1d 01h 13m
138,NW3_KA04D5165_JETTING,nw3_ka04d5165_jetting,26/5/2022,17:08:20,20742,13.0327/77.5182,Choksandra,,0d 00h 22m
140,S4_KA04C5145_JETTING,s4_ka04c5145_jetting,26/5/2022,17:38:57,25418,12.8973/77.6202,Hongasandra,,41d 00h 11m
141,E2_KA04AB6020_JETTING,e2_ka04ab6020_jetting,26/5/2022,19:20:01,25165,12.9602/77.7189,Radha Hometel Bengaluru,,0d 00h 00m
142,WWM_VV1_KA04AA9029_DESILTING,wwm_vv1_ka04aa9029_desilting,26/5/2022,20:34:41,9218,,,,28d 22h 18m
143,NW1_KA042D3161_TANKER,nw1_ka042d3161_tanker,26/5/2022,23:45:35,20080,13.0073/77.5507,Nagapura,,0d 00h 01m
144,S1_KA05B6541_JETTING,s1_ka05b6541_jetting,26/5/2022,23:54:56,166665,12.9093/77.5626,Bendre,,0d 00h 00m
145,NW1_KA04C5131_JETTING,nw1_ka04c5131_jetting,26/5/2022,23:55:57,14241,13.0074/77.5507,Nagapura,,0d 00h 00m
146,SW4_KA04D4106_JETTING,sw4_ka04d4106_jetting,26/5/2022,23:57:31,81754,12.9354/77.5888,Jayanagar Swimming Pool,,0d 00h 17m
147,NE1_KA04B7112_TANKER,ne1_ka04b7112_tanker,26/5/2022,23:57:40,74973,13.0115/77.5675,Malleshwaram,,0d 01h 16m
148,N3_KA02AC4524_JETTING,n3_ka02ac4524_jetting,26/5/2022,23:58:05,26286,13.1016/77.5858,Puttanahalli,,0d 00h 00m
149,NE3_KA02AC5944_JETTING,ne3_ka02ac5944_jetting,26/5/2022,23:58:13,75910,13.0102/77.5672,Malleshwaram,,0d 00h 00m
150,NE2_KA04AB5800_JETTING,ne2_ka04ab5800_jetting,26/5/2022,23:58:14,12059,13.0104/77.5671,Malleshwaram,,0d 00h 00m
151,SE1_KA05AD2948_DESILTING,se1_ka05ad2948_desilting,26/5/2022,23:58:18,15091,,,,0d 00h 00m
152,C3_KA02AC5935_JETTING,c3_ka02ac5935_jetting,26/5/2022,23:58:20,19163,13.0015/77.6275,Seva Nagar,,0d 00h 01m
153,SE3_KA04A3044_JETTING,se3_ka04a3044_jetting,26/5/2022,23:58:31,18236,12.9277/77.6214,De-Oriell Hotel,,0d 00h 03m
154,SE2_KA04A3282_JETTING,se2_ka04a3282_jetting,26/5/2022,23:58:32,21686,12.9827/77.6497,Thippasandra,,0d 01h 01m
155,NW3_KA04AC5936_TANKER,nw3_ka04ac5936_tanker,26/5/2022,23:58:32,22159,13.0327/77.5183,Choksandra,,34d 13h 18m
156,C1_KA02AC5939_JETTING,c1_ka02ac5939_jetting,26/5/2022,23:58:33,12409,12.9719/77.5829,Mysore Bank,,0d 00h 00m
157,C3_KA04AA7688_DESILTING,c3_ka04aa7688_desilting,26/5/2022,23:58:33,3568,13.0014/77.6280,Seva Nagar,,0d 00h 00m
158,S1_KA04D5428_TANKER,s1_ka04d5428_tanker,26/5/2022,23:58:33,37167,12.9114/77.6470,HSR Club,,0d 00h 00m
160,N3_KA04C5142_JETTING,n3_ka04c5142_jetting,26/5/2022,23:58:34,46816,13.0591/77.5874,Chairman's Club & Resort,,0d 00h 00m
161,E1_KA03C5060_TANKER,e1_ka03c5060_tanker,26/5/2022,23:58:34,45087,13.0206/77.6497,BÄbusÄhibpÄlya,,0d 00h 00m
162,NW3_KA04AB6028_JETTING,nw3_ka04ab6028_jetting,26/5/2022,23:58:34,15727,13.0329/77.5181,Choksandra,,25d 17h 11m
163,C2_KA04D4107_JETTING,c2_ka04d4107_jetting,26/5/2022,23:58:34,16904,12.9873/77.5897,Hotel Chalukya,,0d 00h 00m
164,W1_KA02B6769_JETTING,w1_ka02b6769_jetting,26/5/2022,23:58:34,24173,12.9755/77.5618,Bangalore City Railway Station,,0d 00h 00m
165,S1_KA04D5233_TANKER,s1_ka04d5233_tanker,26/5/2022,23:58:34,70035,12.9082/77.5349,Kodipur,,0d 00h 00m
166,NW2_KA04A3043_JETTING,nw2_ka04a3043_jetting,26/5/2022,23:58:35,17292,12.9989/77.5462,Modi Hospital Road,,0d 01h 07m
167,NW2_KA04C5133_JETTING,nw2_ka04c5133_jetting,26/5/2022,23:58:35,14316,12.9949/77.5383,Shree Guru Residency,,0d 01h 27m
168,S3_KA04C5146_JETTING,s3_ka04c5146_jetting,26/5/2022,23:58:36,18319,12.9160/77.6073,Samrudhii Suites,,1d 18h 08m
169,C2_KA04D5121_TANKER,c2_ka04d5121_tanker,26/5/2022,23:58:36,10009,12.9873/77.5899,Hotel Chalukya,,0d 00h 00m
170,W3_KA04C5237_TANKER,w3_ka04d5237_tanker,26/5/2022,23:58:37,12637,12.9195/77.5224,Kenchenahalli,,0d 00h 00m
171,SE1_KA04AB5793_JETTING,se1_ka04ab5793_jetting,26/5/2022,23:58:38,11347,12.9580/77.6123,Hotel Royal Heritage,,0d 00h 00m
172,W3_KA04D5305_TANKER,w3_ka04d5305_tanker,26/5/2022,23:58:38,3247,12.9228/77.4833,Kengeri Satellite Town,,0d 00h 00m
173,SE2_KA04C2090_JETTING,se2_ka04c2090_jetting,26/5/2022,23:58:39,29589,12.9830/77.6496,Thippasandra,,0d 00h 00m
174,W1_KA04C9408_JETTING,w1_ka04c9408_jetting,26/5/2022,23:58:39,1609344,12.9746/77.5482,Chord Road,,0d 00h 00m
176,NW2_KA04AA9025_DESILTING,nw2_ka04aa9025_desilting,26/5/2022,23:58:40,2873,12.9950/77.5383,Shree Guru Residency,,0d 00h 00m
177,S4_KA04C4868_JETTING,s4_ka04c4868_jetting,26/5/2022,23:58:41,77933,12.9114/77.6467,HSR Club,,0d 00h 00m
178,N3_KA04D5128_TANKER,n3_ka04d5128_tanker,26/5/2022,23:58:41,26663,13.0592/77.5869,Chairman's Club & Resort,,0d 00h 00m
179,N1_KA04C5141_JETTING,n1_ka04c5141_jetting,26/5/2022,23:58:41,30727,13.0622/77.5048,Bagalkunti,,0d 00h 00m
180,S4_KA04D4603_JETTING,s4_ka04d4603_jetting,26/5/2022,23:58:41,70311,12.8975/77.6202,Hongasandra,,0d 00h 01m
181,S1_KA03C5043_TANKER,s1_ka03c5043_tanker,26/5/2022,23:58:41,64084,12.9093/77.5624,Bendre,,0d 00h 00m
182,S1_KA04D4270_JETTING,s1_ka04d4270_jetting,26/5/2022,23:58:41,61884,12.9091/77.5625,Kumaraswamy Layout,,0d 00h 00m
183,NE2_KA04C5137_JETTING,ne2_ka04c5137_jetting,26/5/2022,23:58:41,31873,13.0104/77.5667,Malleshwaram,,0d 00h 00m
184,S4_KA04AB5798_JETTING,s4_ka04ab5798_jetting,26/5/2022,23:58:42,16728,12.9113/77.6467,HSR Club,,0d 00h 00m
185,N3_KA04AD5792_JETTING,n3_ka04ad5792_jetting,26/5/2022,23:58:42,31686,13.0591/77.5870,Chairman's Club & Resort,,0d 00h 00m
187,E3_KA04AA9032_DESILTING,e3_ka04aa9032_desilting,26/5/2022,23:58:43,21025,13.0082/77.6900,KrishnarÄjpur,,4d 18h 19m
188,N3_KA02AC4516_JETTING,n3_ka02ac4516_jetting,26/5/2022,23:58:43,40910,13.0821/77.5400,Shingapur,,0d 00h 00m
189,S4_KA04AA7683_DESILTING,s4_ka04aa7683_desilting,26/5/2022,23:58:43,12976,12.8972/77.6202,Hongasandra,,74d 15h 08m
190,WWM_VV2_KA53B3461_DUMPTANKER,wwm_vv2_ka53b3461_dumptanker,26/5/2022,23:58:44,17385,12.9366/77.5212,Nayandanahalli,,0d 00h 00m
191,E1_KA04D4862_JETTING,e1_ka04d4862_jetting,26/5/2022,23:58:45,30121,13.0208/77.6498,BÄbusÄhibpÄlya,,0d 00h 00m
192,E3_KA02AF6874_TANKER,e3_ka02af6874_tanker,26/5/2022,23:58:45,15605,13.0084/77.6901,KrishnarÄjpur,,0d 16h 26m
193,W1_KA02D3148_TANKER,w1_ka02d3148_tanker,26/5/2022,23:58:48,15916,12.9569/77.5481,Timer yard Layout,,0d 00h 00m
195,WWM_KC2_KA53B3472_JETTING,wwm_kc2_ka53b3472_jetting,26/5/2022,23:58:49,18906,12.9562/77.6435,Hare Krishna Residency,,0d 00h 00m
