Sl No.,Device ID,Zone ID,Vehicle Number,Vehicle Type,IMEI,Status,October_22 Match,RA_11 Match
52,E4_KA04AB6022_JETTING,E4,KA04AB6022,JETTING,tk_864895033188085,WORKING,E4_KA04AB6022_JETTING,
53,E4_KA04D5309_TANKER,E4,KA04D5309,TANKER,tk_868683022806313,WORKING,E4_KA04D5309_TANKER,
56,EEW2_KA02AH4423_JETTING,EEW2,KA02AH4423,JETTING,tk_862549048953825,WORKING,,
58,N1_KA04AA9031_DESILTING,N1,KA04AA9031,DESILTING,tk_864895033187277,WORKING,N1_KA04AA9031_DESILTING,
60,N1_KA04C5141_JETTING,N1,KA04C5141,JETTING,tk_868683022802379,WORKING,N1_KA04C5141_JETTING,
61,N1_KA04D4274_JETTING,N1,KA04D4274,JETTING,tk_864180032711678,WORKING,N1_KA04D4274_JETTING,
63,N11_KA50A9853_JETTING,N11,KA50A9853,JETTING,tk_862549048971843,WORKING,,
64,N2_KA04AA9015_DESITTING,N2,KA04AA9015,DESITTING,tk_864895033187756,WORKING,N2_KA04AA9015_DESILTING,
65,N2_KA04AB5791_JETTING,N2,KA04AB5791,JETTING,tk_864895033187814,WORKING,N2_KA04AB5791_JETTING,
68,N22_KA50B0070_JETTING,N22,KA50B0070,JETTING,tk_862549049020244,WORKING,,
72,N3_KA04AD5792_JETTING,N3,KA04AD5792,JETTING,tk_864895033186550,WORKING,N3_KA04AD5792_JETTING,
75,N3_KA04D5128_TANKER,N3,KA04D5128,TANKER,tk_868683022833291,WORKING,N3_KA04D5128_TANKER,
57,EEWWMSTPVV1_KA04D3155_TANKER,EEWWMSTPVV1,KA04D3155,TANKER,tk_868683022789238,SCRAPPED,NW2_KA04D3155_TANKER,
78,NE1_KA02AH5856_JETTING,NE1,KA02AH5856,JETTING,tk_862549048928975,WORKING,,
98,NE3_KA04A3042_JETTING,NE3,KA04A3042,JETTING,tk_864180032931144,WORKING,NE3_KA04A3042_JETTING,
108,NE3_KA04C5140_JETTING,NE3,KA04C5140,JETTING,tk_868683022541209,WORKING,NE3_KA04C5140_JETTING,
116,NW12_KA02AH5776_JETTING,NW12,KA02AH5776,JETTING,tk_862549049010500,WORKING,,
117,NW12_KA04AH4916_JETTING,NW12,KA04AH4916,JETTING,tk_862549048972189,WORKING,,
119,NW2_KA04AA9025_DESILTING,NW2,KA04AA9025,DESILTING,tk_864895033187392,WORKING,NW2_KA04AA9025_DESILTING,
123,NW3_KA04AA7686_DESILTING,NW3,KA04AA7686,DESILTING,tk_868683022864460,WORKING,NW3_KA04AA7686_DESILTING,
124,NW3_KA04AB6028_JETTING,NW3,KA04AB6028,JETTING,tk_864895033187301,WORKING,NW3_KA04AB6028_JETTING,
126,NW3_KA04C2197_JETTING,NW3,KA04C2197,JETTING,tk_868683022799567,WORKING,NW3_KA04C2197_JETTING,
128,NW3_KA04D5165_JETTING,NW3,KA04D5165,JETTING,tk_868683022801355,WORKING,NW3_KA04D5165_JETTING,
129,NW3_KA50A9854_JETTING,NW3,KA50A9854,JETTING,tk_862549048969060,WORKING,,
130,NW4_KA02AH5783_JETTING,NW4,KA02AH5783,JETTING,tk_862549048986049,WORKING,,
131,NW5_KA03AJ1453_JETTING,NW5,KA03AJ1453,JETTING,tk_862549040528906,WORKING,,
136,S1_KA04D5428_TANKER,S1,KA04D5428,TANKER,tk_868683022806321,WORKING,S1_KA04D5428_TANKER,
137,S1_KA05AD2936_DESILTING,S1,KA05AD2936,DESILTING,tk_864180032935095,WORKING,S1_KA05AD2936_DESILTING,
139,S11_KA05AJ3582_JETTING,S11,KA05AJ3582,JETTING,tk_862549040767579,WORKING,,
140,S11_KA05AK3138_JETTING,S11,KA05AK3138,JETTING,tk_862549048972288,WORKING,,
141,S11_KA05AK3271_JETTING,S11,KA05AK3271,JETTING,tk_862549040526843,WORKING,,
142,S11_KA05AK3583_JETTING,S11,KA05AK3583,JETTING,tk_862549040738935,WORKING,,
143,S12_KA03AJ1454_JETTING,S12,KA03AJ1454,JETTING,tk_862549040583505,WORKING,,
144,S12_KA05AK3578_JETTING,S12,KA05AK3578,JETTING,tk_862549048971991,WORKING,,
145,S12_KA05AK3579_JETTING,S12,KA05AK3579,JETTING,tk_862549049047437,WORKING,,
146,S13_KA02AH5780_JETTING,S13,KA02AH5780,JETTING,tk_862549048978772,WORKING,,
147,S2_KA04AA7680_DESILTING,S2,KA04AA7680,DESILTING,tk_864180032937844,WORKING,S2_KA04AA7680_DESILTING,
151,S2_KA04D5296_TANKER,S2,KA04D5296,TANKER,tk_868683022805448,WORKING,S2_KA04D5296_TANKER,
152,S2_KA04D5299_TANKER,S2,Ka04D5299,TANKER,tk_868683022805992,WORKING,S2_KA04D5299_TANKER,
155,S3_KA04C5146_JETTING,S3,KA04C5146,JETTING,tk_868683022800498,WORKING,S3_KA04C5146_JETTING,
157,S3_KA04D8086_TANKER,S3,KA04D8086,TANKER,tk_868683022802148,WORKING,S3_KA04D8086_TANKER,
159,S4_KA04AB5798_JETTING,S4,KA04AB5798,JETTING,tk_864895033187871,WORKING,S4_KA04AB5798_JETTING,
167,SE1_KA03AJ4267_JETTING,SE1,KA03AJ4267,JETTING,tk_862549048960630,WORKING,,
168,SE1_KA03AJ4268_JETTING,SE1,KA03AJ4268,JETTING,tk_862549048942489,WORKING,,
180,SE1_KA05AD2948_DESILTING,SE1,KA05AD2948,DESILTING,tk_864895033187459,WORKING,SE1_KA05AD2948_DESILTING,
184,SE2_KA04A7681_DESILTING,SE2,KA04AA7681,DESILTING,tk_864895033187426,WORKING,SE2_KA04AA7681_DESILTING,
185,SE2_KA04C2090_JETTING,SE2,KA04C2090,JETTING,tk_868683022806677,WORKING,SE2_KA04C2090_JETTING,
186,SE2_KA04D4611_JETTING,SE2,KA04D4611,JETTING,tk_868683022797769,WORKING,SE2_KA04D4611_JETTING,
187,SE3_KA02AC5940_JETTING,SE3,KA02AC5940,JETTING,tk_868683022791069,WORKING,SE3_KA02AC5940_JETTING,
190,SE3_KA04AB5801_JETTING,SE3,KA04AB5801,JETTING,tk_864895033187723,WORKING,SE3_KA04AB5801_JETTING,
194,SE4_KA03AJ4269_JETTING,SE4,KA03AJ4269,JETTING,tk_862549048999810,WORKING,,
195,SE5_KA05AK3581_JETTING,SE5,KA05AK3581,JETTING,tk_862549048951969,WORKING,,
196,SE6_KA05AK3580_JETTING,SE6,KA05AK3580,JETTING,tk_862549048969433,WORKING,,
197,SW1_KA01B9896_TANKER,SW1,KA01B9896,TANKER,TK_868683022800662,WORKING,SW1_KA01B9896_TANKER,
198,SW1_KA02AH5779_JETTING,SW1,KA02AH5779,JETTING,tk_862549048953858,WORKING,,
204,SW1_KA04D4872_JETTING,SW1,KA04D4872,JETTING,tk_868683022805919,WORKING,SW1_KA04D4872_JETTING,
207,SW2_KA02AH5778_JETTING,SW2,KA02AH5778,JETTING,tk_862549048972122,WORKING,,
208,SW2_KA04AB5797_JETTING,SW2,KA04AB5797,JETTING,tk_864895033186469,WORKING,SW2_KA04AB5797_JETTING,
214,SW3_KA02AH5782_JETTING,SW3,KA02AH5782,JETTING,tk_862549048954294,WORKING,,
219,SW4_KA02AH5777_JETTING,SW4,KA02AH5777,JETTING,tk_862549048972098,WORKING,,
220,SW4_KA04AA9016_DESILTING,SW4,KA04AA9016,DESILTING,tk_864895033187780,WORKING,SW4_KA04AA9016_DESILTING,
221,SW4_KA04AA9021_DESILTING,SW4,KA04AA9021,DESILTING,tk_864895033186790,WORKING,SW4_KA04AA9021_DESILTING,
227,SW4_KA05D6540_JETTING,SW4,KA05B6540,JETTING,tk_868683022801348,WORKING,SW4_KA05B6540_JETTING,
229,SW5_KA05AK3600_JETTING,SW5,KA05AK3600,JETTING,tk_862549048914975,WORKING,,
231,W1_KA02D3148_TANKER,W1,KA02D3148,TANKER,tk_868683022830289,WORKING,W1_KA02D3148_TANKER,
232,W1_KA04C9408_JETTING,W1,KA04C9408,JETTING,tk_864180032710613,WORKING,W1_KA04C9408_JETTING,
239,W3_KA04C5237_TANKER,W3,KA04D5237,TANKER,tk_868683022803435,WORKING,W3_KA04D5237_TANKER,
243,W4_KA02D3152_TANKER,W4,KA02D3152,TANKER,tk_864180032741162,WORKING,W4_KA02D3152_TANKER,
77,NE1_CAA3313_TANKER,NE1,CAA3313,TANKER,NA,SCRAPPED,NE1_CAA3313_TANKER,
7,C2_KA01D7292_JETTING,C2,KA01D7292,JETTING,tk_868683022790962,WORKING,C2_KA01D7292_JETTING,C1_KA01D7292_JETTING
9,C2_KA04AD2944_DESILTING,C2,KA04AD2944,DESILTING,tk_868683022797280,WORKING,C2_KA04AD2944_DESILTING,C1_KA04AD2944_DESILTING
10,C2_KA04C5127_JETTING,C2,KA04C5127,JETTING,tk_868683022786754,WORKING,C2_KA04C5127_JETTING,C1_KA04C5127_JETTING
11,C2_KA04D4107_JETTING,C2,KA04D4107,JETTING,tk_868683022788198,WORKING,C2_KA04D4107_JETTING,C1_KA04D4107_JETTING
12,C2_KA04D5121_TANKER,C2,KA04D5121,TANKER,tk_868683022802015,WORKING,C2_KA04D5121_TANKER,C1_KA04D5121_TANKER
13,C3_KA02AC5935_JETTING,C3,KA02AC5935,JETTING,tk_868683022490233,WORKING,C3_KA02AC5935_JETTING,C2_KA02AC5935_JETTING
14,C3_KA02AC5950_JETTING,C3,KA02AC5950,JETTING,tk_868683022809655,WORKING,C3_KA02AC5950_JETTING,C2_KA02AC5950_JETTING
15,C3_KA03B965_JETTING,C3,KA03B965,JETTING,tk_864180032712791,SCRAPPED,C3_KA03B965_JETTING,C2_KA03B965_JETTING
16,C3_KA03C5048_TANKER,C3 ,KA03C5048,TANKER,tk_868683022795151,WORKING,C3_KA03C5048_TANKER,C2_KA03C5048_TANKER
17,C3_KA03C5064_TANKER,C3,KA03C5064,TANKER,tk_868683022997435,WORKING,C3_KA03C5064_TANKER,C2_KA03C5064_TANKER
18,C3_KA04AA7688_DESILTING,C3,KA04AA7688,DESILTING,tk_868683022407500,WORKING,C3_KA04AA7688_DESILTING,C2_KA04AA7688_DESILTING
19,C3_KA04AA9028_DESILTING,C3,KA04AA9028,DESILTING,tk_864895033188358,WORKING,C3_KA04AA9028_DESILTING,C2_KA04AA9028_DESILTING
22,C3_KA04C5160_JETTING,C3,KA04C5160,JETTING,tk_868683022807170,WORKING,C3_KA04C5160_JETTING,C2_KA04C5160_JETTING
32,E1_KA04D5122_TANKER,E1,KA04D5122,TANKER,tk_868683022806925,WORKING,E1_KA04D5122_TANKER,E1_KA04D5122_TANKER
38,E2_KA04C5158_JETTING,E2,KA04C5158,JETTING,tk_868683022811404,WORKING,E2_KA04C5158_JETTING,E11_KA04C5158_JETTING
39,E2_KA04D5163_JETTING,E2,KA04D5163,JETTING,tk_868683022805422,WORKING,E2_KA04D5163_JETTING,E11_KA04D5163_JETTING
40,E2_KA04D5289_TANKER,E2,KA04d5289,TANKER,tk_868683022792505,WORKING,E2_KA04D5289_TANKER,E11_KA04D5289_TANKER
41,E2_KA04D5291_TANKER,E2,KA04D5291,TANKER,NA,WORKING,E2_KA04D5291_TANKER,E11_KA04D5291_TANKER
54,E4_KA04D6648_JETTING,E4,KA04D6648,JETTING,tk_868683022810588,WORKING,E4_KA04D6648_JETTING,E12_KA04D6648_JETTING
55,E4_KA04D6650_JETLING,E4,KA04D6650,JETLING,tk_868683022791861,WORKING,E4_KA04D6650_JETTING,E12_KA04D6650_JETTING
50,E4_KA02AC4534_JETTING,E4,KA02AC4534,JETTING,tk_868683022800233,WORKING,E4_KA02AC4534_JETTING,E13_KA02AC4534_JETTING
25,E1_KA02AC4521_JETTING,E1,KA02AC4521,JETTING,tk_868683022790319,WORKING,E1_KA02AC4521_JETTING,E21_KA02AC4521_JETTING
26,E1_KA03C5060_TANKER,E1,KA03C5060,TANKER,tk_868683022800472,WORKING,E1_KA03C5060_TANKER,E21_KA03C5060_TANKER
31,E1_KA04D4862_JETTING,E1,KA04D4862,JETTING,tk_868683022846319,WORKING,E1_KA04D4862_JETTING,E21_KA04D4862_JETTING
30,E1_KA04C5153_JETTING,E1,KA04C5153,JETTING,tk_868683022790111,WORKING,E1_KA04C5153_JETTING,E22_KA04C5153_JETTING
20,C3_KA04C3716 JETTING,C3,KA04C3716,JETTING,tk_868683022789915,WORKING,C3_KA04C3716_JETTING,E23_KA04C3716_JETTING
44,E3_KA03C5056_TANKER,E3,KA03C5056,TANKER,tk_868683022832897,WORKING,E3_KA03C5056_TANKER,E24_KA03C5056_TANKER
47,E3_KA04C5159_JETTING,E3,KA04C5159,JETTING,tk_868683022788388,WORKING,E3_KA04C5159_JETTING,E24_KA04C5159_JETTING
48,E3_KA04D4157_JETTING,E3,KA04D4157,JETTING,tk_868683022818896,WORKING,E3_KA04D4157_JETTING,E24_KA04D4157_JETTING
49,E3_KA04D5127_TANKER,E3,KA04D5127,TANKER,tk_868683022786507,WORKING,E3_KA04D5127_TANKER,E24_KA04D5127_TANKER
247,WWM_KA53B3470_SUCTION,WWM,KA53B3470,SUCTION,tk_868683022488682,WORKING,WWM_KA53B3470_SUCTION,EE_WWMNH_A_V_KA53B3470_SUCTION
248,WWM_KA53B3471_SUCTION,WWM,KA53B3471,SUCTION,tk_868683022800670,WORKING,WWM_KA53B3471_SUCTION,EE_WWMNH_A_V_KA53B3471_SUCTION
258,WWM_KC2_KA53B3469_JETTING,WWM_KC2,KA53B3469,JETTING,tk_868683022540763,WORKING,WWM_KC2_KA53B3469_JETTING,EE_WWMNK_T_V_KA53B3469_JETTING
71,N3_KA04AA7682_DESILTING,N3,KA04AA7682,DESILTING,tk_8991000903999319608,WORKING,N3_KA04AA7682_DESILTING,N11_KA04AA7682_DESILTING
73,N3_KA04C5142_JETTING,N3,KA04C5142,JETTING,tk_868683022488278,WORKING,N3_KA04C5142_JETTING,N11_KA04C5142_JETTING
76,N3_KA04D6659_JETTING,N3,KA04D6659,JETTING,tk_868683022490530,WORKING,N3_KA04D6659_JETTING,N11_KA04D6659_JETTING
99,NE3_KA04A6215_JETTING,NE3,KA04A6215,JETTING,tk_864895033188473,WORKING,NE3_KA04A6215_JETTING,N12_KA04A6215_JETTING
100,NE3_KA04AA1780_DESILTING,NE3,KA04AA1780,DESILTING,tk_868683022808491,WORKING,NE3_KA04AA1780_DESILTING,N12_KA04AA1780_DESILTING
101,NE3_KA04AA1781_DESILTING,NE3,KA04AA1781,DESILTING,tk_868683022807105,WORKING,NE3_KA04AA1781_DESILTING,N12_KA04AA1781_DESILTING
103,NE3_KA04AA1783_DESILTING,NE3,KA04AA1783,DESILTING,tk_868683022805455,WORKING,NE3_KA04AA1783_DESILTING,N12_KA04AA1783_DESILTING
104,NE3_KA04AA1784_DESILTING,NE3,KA04AA1784,DESILTING,tk_868683022883700,WORKING,NE3_KA04AA1784_DESILTING,N12_KA04AA1784_DESILTING
106,NE3_KA04B7114_TANKER,NE3,KA04B7114,TANKER,tk_868683022407427,WORKING,NE3_KA04B7114_TANKER,N12_KA04B7114_TANKER
107,NE3_KA04C3715_JETTING,NE3,KA04C3715,JETTING,tk_868683022153252,WORKING,NE3_KA04C3715_JETTING,N12_KA04C3715_JETTING
109,NE3_KA04D4115_JETTING,NE3,KA04D4115,JETTING,tk_868683022492866,WORKING,NE3_KA04D4115_JETTING,N12_KA04D4115_JETTING
70,N3_KA02AC4524_JETTING,N3,KA02AC4524,JETTING,tk_868683022871317,WORKING,N3_KA02AC4524_JETTING,N21_KA02AC4524_JETTING
66,N2_KA04C2201_JETTING,N2,KA04C2201,JETTING,tk_868683022811453,WORKING,N2_KA04C2201_JETTING,N21_KA04C2201_JETTING
67,N2_KA04D5125_TANKER,N2,KA04D5125,TANKER,tk_868683022793727,WORKING,N2_KA04D5125_TANKER,N21_KA04D5125_TANKER
69,N3_KA02AC4516_JETTING,N3,KA02AC4516,JETTING,tk_868683022153823,WORKING,N3_KA02AC4516_JETTING,N22_KA02AC4516_JETTING
74,N3_KA04D4102_JETTING,N3,KA04D4102,JETTING,tk_359710040534845,WORKING,N3_KA04D4102_JETTING,N22_KA04D4102_JETTING
182,SE2_KA03C5068_TANKER,SE2,KA03C5068,TANKER,tk_864180032935525,WORKING,SE2_KA03C5068_TANKER,NE1_KA03C5068_TANKER
79,NE1_KA04A6216_JETTING,NE1,KA04A6216,JETTING,tk_864180032935368,WORKING,NE1_KA04A6216_JETTING,NE1_KA04A6216_JETTING
80,NE1_KA04A9515_JETTING,NE1,KA04A9515,JETTING,NA,SCRAPPED,NE1_KA04A9515_JETTING,NE1_KA04A9515_JETTING
81,NE1_KA04A9516_JETTING,NE1,Ka04A9516,JETTING,tk_868683022153708,WORKING,NE1_KA04A9516_JETTING,NE1_KA04A9516_JETTING
82,NE1_KA04AA7689_JETTING,NE1,KA04AA7689,JETTING,tk_868683022153013,WORKING,,NE1_KA04AA7689_JETTING
83,NE1_KA04B7111_TANKER,NE1,KA04B7111,TANKER,tk_868683022154987,WORKING,NE1_KA04B7111_TANKER,NE1_KA04B7111_TANKER
84,NE1_KA04B7112_TANKER,NE1,KA04B7112,TANKER,tk_868683022489854,WORKING,NE1_KA04B7112_TANKER,NE1_KA04B7112_TANKER
85,NE1_KA04C5136_JETTING,NE1,KA04C5136,JETTING,tk_868683022416212,WORKING,NE1_KA04C5136_JETTING,NE1_KA04C5136_JETTING
86,NE1_KA04D5158_JETTING,NE1,KA04D5158,JETTING,tk_868683022794774,WORKING,NE1_KA04D5158_JETTING,NE1_KA04D5158_JETTING
88,NE1_KA04N1245_JEEP,NE1,KA04N1245,JEEP,tk_868683022808590,WORKING,NE1_KA04N1245_JEEP,NE1_KA04N1245_JEEP
97,NE3_KA02AC5944_JETTING,NE3,KA02AC5944,JETTING,tk_868683022482057,WORKING,NE3_KA02AC5944_JETTING,NE2_KA02AC5944_JETTING
89,NE2_KA049930_TANKER,NE2,KA049930,TANKER,tk_868683022155752,WORKING,,NE2_KA049930_TANKER
90,NE2_KA04A3048_JETTING,NE2,KA04A3048,JETTING,NA,SCRAPPED,NE2_KA04A3048_JETTING,NE2_KA04A3048_JETTING
91,NE2_KA04A9517_JETTING,NE2,KA04A9517,JETTING,tk_868683022810646,WORKING,NE2_KA04A9517_JETTING,NE2_KA04A9517_JETTING
102,NE3_KA04AA1782_DESILTING,NE3,KA04AA1782,DESILTING,tk_868683022802221,WORKING,NE3_KA04AA1782_DESILTING,NE2_KA04AA1782_DESILTING
92,NE2_KA04AB5800_JETTING,NE2,KA04AB5800,JETTING,tk_864895033188507,WORKING,NE2_KA04AB5800_JETTING,NE2_KA04AB5800_JETTING
93,NE2_KA04B7110_TANKER,NE2,KA04B7110,TANKER,tk_868683020517144,WORKING,NE2_KA04B7110_TANKER,NE2_KA04B7110_TANKER
94,NE2_KA04C5137_JETTING,NE2,KA04C5137,JETTING,tk_868683022489599,WORKING,NE2_KA04C5137_JETTING,NE2_KA04C5137_JETTING
95,NE2_KA04D4272_JETTING,NE2,KA04D4272,JETTING,tk_868683022152890,WORKING,NE2_KA04D4272_JETTING,NE2_KA04D4272_JETTING
33,E1_KA04D5294_TANKER,E1,KA04D5294,TANKER,tk_868683022830537,WORKING,E1_KA04D5294_TANKER,NE2_KA04D5294_TANKER
96,NE2_KA05AD2943_DESILTING,NE2,KA05AD2943,DESILTING,tk_864895033188655,WORKING,NE2_KA05AD2943_DESILTING,NE2_KA05AD2943_DESILTING
105,NE3_KA04AA1789_DESILTING,NE3,KA04AA1789,DESILTING,tk_868683022797173,WORKING,NE3_KA04AA1789_DESILTING,NE3_KA04AA1789_DESILTING
110,NW1_KA04A9519_JETTING,NW1,KA04A9519,JETTING,tk_868683022799666,WORKING,NW1_KA04A9519_JETTING,NW1_KA04A9519_JETTING
244,W4_KA04B6770_JETTING,W4,KA04B6770,JETTING,tk_868683022795102,SCRAPPED,W4_KA04B6770_JETTING,NW1_KA04B6770_JETTING
111,NW1_KA04C5131_JETTING,NW1,KA04C5131,JETTING,tk_868683022797413,WORKING,NW1_KA04C5131_JETTING,NW1_KA04C5131_JETTING
112,NW1_KA04D3161_TANKER,NW1,KA04D3161,TANKER,tk_868683022870905,WORKING,NW1_KA04D3161_TANKER,NW1_KA04D3161_TANKER
113,NW1_KA04D4278_JETTING,NW1,KA04D4278,JETTING,tk_868683022791408,WORKING,NW1_KA04D4278_JETTING,NW1_KA04D4278_JETTING
114,NW1_KA04D6656_JETTING,NW1,KA04D6656,JETTING,tk_868683022789576,WORKING,NW1_KA04D6656_JETTING,NW1_KA04D6656_JETTING
230,W1_KA02B6769_JETTING,W1,KA02B6769,JETTING,tk_868683022502086,WORKING,W1_KA02B6769_JETTING,NW11_KA02B6769_JETTING
115,NW11_KA04A3047_JETTING,NW11,KA04A3047,JETTING,tk_868683022837441,SCRAPPED,W1_KA04A3047_JETTING,NW11_KA04A3047_JETTING
233,W1_KA04D6653_JETTING,W1,KA04D6653,JETTING,tk_868683022805711,WORKING,W1_KA04D6653_JETTING,NW11_KA04D6653_JETTING
234,W1_KA05AD2945_DESILTING,W1,KA05AD2945,DESILTING,tk_868683022790244,WORKING,W1_KA05AD2945_DESILTING,NW11_KA05AD2945_DESILTING
246,W4_KA04D4601_JETTING,W4,KA04D4601,JETTING,tk_868683022795888,WORKING,W4_KA04D4601_JETTING,NW12_KA04D4601_JETTING
118,NW2_KA04A3043_JETTING,NW2,KA04A3043,JETTING,tk_868683022790566,WORKING,NW2_KA04A3043_JETTING,NW3_KA04A3043_JETTING
59,N1_KA04AB6025_JETTING,N1,KA04AB6025,JETTING,tk_864180032927530,WORKING,N1_KA04AB6025_JETTING,NW3_KA04AB6025_JETTING
120,NW2_KA04C5133_JETTING,NW2,KA04C5133,JETTING,tk_868683022837615,WORKING,NW2_KA04C5133_JETTING,NW3_KA04C5133_JETTING
121,NW2_KA04D4113_JETTING,NW2,KA04D4113,JETTING,tk_868683022789519,WORKING,NW2_KA04D4113_JETTING,NW3_KA04D4113_JETTING
62,N1_KA04D5126_TANKER,N1,KA04D5126,TANKER,tk_868683022791127,WORKING,N1_KA04D5126_TANKER,NW3_KA04D5126_TANKER
122,NW2_KA04D5235_TANKER,NW2,KA04D5235,TANKER,tk_868683022812196,WORKING,NW2_KA04D5235_TANKER,NW3_KA04D5235_TANKER
125,NW3_KA04AC5936_TANKER,NW3,KA04AC5936,TANKER,tk_868683022883189,WORKING,NW3_KA04AC5936_TANKER,NW4_KA04AC5936_TANKER
127,NW3_KA04C5135_JETTING,NW3,KA04C5135,JETTING,tk_868683022828838,WORKING,NW3_KA04C5135_JETTING,NW4_KA04C5135_JETTING
222,SW4_KA04C2198_JETTING,SW4,KA04C2198,JETTING,tk_868683022798734,WORKING,SW4_KA04C2198_JETTING,S11_KA04C2198_JETTING
223,SW4_KA04C2203_JETTING,SW4,KA04C2203,JETTING,tk_868683022809051,WORKING,SW4_KA04C2203_JETTING,S11_KA04C2203_JETTING
224,SW4_KA04C5151_JETTING,SW4,KA04C5151,JETTING,tk_868683022801777,WORKING,SW4_KA04C5151_JETTING,S11_KA04C5151_JETTING
149,S2_KA04D4104_JETTING,S2,KA04D4104,JETTING,tk_868683022800639,WORKING,S2_KA04D4104_JETTING,S11_KA04D4104_JETTING
225,SW4_KA04D4106_JETTING,SW4,KA04D4106,JETTING,tk_868683022797850,WORKING,SW4_KA04D4106_JETTING,S11_KA04D4106_JETTING
150,S2_KA04D5124_TANKER,S2,KA04D5124,TANKER,tk_868683022808400,WORKING,S2_KA04D5124_TANKER,S11_KA04D5124_TANKER
87,NE1_KA04D5161_JETTING,NE1,KA04D5161,JETTING,tk_868683022871705,WORKING,S2_KA04D5161_JETTING,S11_KA04D5161_JETTING
226,SW4_KA04D5298_TANKER,SW4,KA04D5298,TANKER,tk_868683022787109,WORKING,SW4_KA04D5298_TANKER,S11_KA04D5298_TANKER
158,S4_KA04AA7683_DESILTING,S4,KA04AA7683,DESILTING,tk_864895033187905,WORKING,S4_KA04AA7683_DESILTING,S12_KA04AA7683_DESILTING
160,S4_KA04C4868_JETTING,S4,KA04C4868,JETTING,tk_868683022795904,WORKING,S4_KA04C4868_JETTING,S12_KA04C4868_JETTING
161,S4_KA04C5145_JETTING,S4,KA04C5145,JETTING,tk_868683022795698,WORKING,S4_KA04C5145_JETTING,S12_KA04C5145_JETTING
162,S4_KA04C5152_JETTING,S4,KA04C5152,JETTING,tk_868683022792125,WORKING,S4_KA04C5152_JETTING,S12_KA04C5152_JETTING
163,S4_KA04D4603_JETTING,S4,KA04D4603,JETTING,tk_868683022786374,WORKING,S4_KA04D4603_JETTING,S12_KA04D4603_JETTING
164,S4_KA05D8083_TANKER,S4,KA05D8083,TANKER,tk_868683022791846,WORKING,S4_KA05D8083_TANKER,S12_KA05D8083_TANKER
148,S2_KA04C5149_JETTING,S2,KA04C5149,JETTING,tk_868683022802304,WORKING,S2_KA04C5149_JETTING,S13_KA04C5149_JETTING
165,SE1_CAW210_TANKER,SE1,CAW210,TANKER,tk_868683022788230,SCRAPPED,SE1_CAW210_TANKER,SE1_CAW210_TANKER
166,SE1_CAW313_TANKER,SE1,CAW313,TANKER,tk_868683022790194,SCRAPPED,SE1_CAW313_TANKER,SE1_CAW313_TANKER
169,SE1_KA03B964_JETTING,SE1,KA03B964,JETTING,tk_864180032743481,WORKING,SE1_KA03B964_JETTING,SE1_KA03B964_JETTING
